# DICTIONARY: f2=eth_eth_dst,f4=eth_eth_dst_tree_eth_addr,f5=eth_eth_dst_tree_eth_addr_oui,f6=eth_eth_dst_tree_eth_addr_resolved,f7=eth_eth_dst_tree_eth_dst_ig,f8=eth_eth_dst_tree_eth_dst_lg,f9=eth_eth_dst_tree_eth_dst_oui,f10=eth_eth_dst_tree_eth_dst_resolved,f11=eth_eth_dst_tree_eth_ig,f12=eth_eth_dst_tree_eth_lg,f13=eth_eth_src,f15=eth_eth_src_tree_eth_addr,f16=eth_eth_src_tree_eth_addr_oui,f17=eth_eth_src_tree_eth_addr_resolved,f18=eth_eth_src_tree_eth_ig,f19=eth_eth_src_tree_eth_lg,f20=eth_eth_src_tree_eth_src_ig,f21=eth_eth_src_tree_eth_src_lg,f22=eth_eth_src_tree_eth_src_oui,f23=eth_eth_src_tree_eth_src_resolved,f24=eth_eth_type,f26=frame_frame_cap_len,f27=frame_frame_encap_type,f28=frame_frame_ignored,f29=frame_frame_len,f30=frame_frame_marked,f31=frame_frame_number,f32=frame_frame_offset_shift,f33=frame_frame_protocols,f34=frame_frame_time,f35=frame_frame_time_delta,f36=frame_frame_time_delta_displayed,f37=frame_frame_time_epoch,f38=frame_frame_time_relative,f39=frame_frame_time_utc,f93=ip_ip_addr,f94=ip_ip_checksum,f95=ip_ip_checksum_status,f96=ip_ip_dsfield,f98=ip_ip_dsfield_tree_ip_dsfield_dscp,f99=ip_ip_dsfield_tree_ip_dsfield_ecn,f100=ip_ip_dst,f101=ip_ip_dst_host,f102=ip_ip_flags,f104=ip_ip_flags_tree_ip_flags_df,f105=ip_ip_flags_tree_ip_flags_mf,f106=ip_ip_flags_tree_ip_flags_rb,f107=ip_ip_frag_offset,f108=ip_ip_hdr_len,f109=ip_ip_host,f110=ip_ip_id,f111=ip_ip_len,f112=ip_ip_proto,f113=ip_ip_src,f114=ip_ip_src_host,f115=ip_ip_ttl,f116=ip_ip_version,f143=mqtt_mqtt_hdrflags,f146=mqtt_mqtt_hdrflags_tree_mqtt_hdr_reserved,f147=mqtt_mqtt_hdrflags_tree_mqtt_msgtype,f151=mqtt_mqtt_len,f160=mqtt_mqtt_topic,f161=mqtt_mqtt_topic_len,f167=tcp_Timestamps_tcp_time_delta,f168=tcp_Timestamps_tcp_time_relative,f174=tcp_tcp_ack,f175=tcp_tcp_ack_raw,f177=tcp_tcp_analysis_tcp_analysis_ack_rtt,f178=tcp_tcp_analysis_tcp_analysis_acks_frame,f179=tcp_tcp_analysis_tcp_analysis_bytes_in_flight,f187=tcp_tcp_analysis_tcp_analysis_initial_rtt,f188=tcp_tcp_analysis_tcp_analysis_push_bytes_sent,f189=tcp_tcp_checksum,f190=tcp_tcp_checksum_status,f191=tcp_tcp_completeness,f193=tcp_tcp_completeness_tree_tcp_completeness_ack,f194=tcp_tcp_completeness_tree_tcp_completeness_data,f195=tcp_tcp_completeness_tree_tcp_completeness_fin,f196=tcp_tcp_completeness_tree_tcp_completeness_rst,f197=tcp_tcp_completeness_tree_tcp_completeness_str,f198=tcp_tcp_completeness_tree_tcp_completeness_syn,f199=tcp_tcp_completeness_tree_tcp_completeness_syn_ack,f200=tcp_tcp_dstport,f201=tcp_tcp_flags,f203=tcp_tcp_flags_tree_tcp_flags_ack,f204=tcp_tcp_flags_tree_tcp_flags_ae,f205=tcp_tcp_flags_tree_tcp_flags_cwr,f206=tcp_tcp_flags_tree_tcp_flags_ece,f207=tcp_tcp_flags_tree_tcp_flags_fin,f214=tcp_tcp_flags_tree_tcp_flags_push,f215=tcp_tcp_flags_tree_tcp_flags_res,f216=tcp_tcp_flags_tree_tcp_flags_reset,f217=tcp_tcp_flags_tree_tcp_flags_str,f225=tcp_tcp_flags_tree_tcp_flags_syn,f228=tcp_tcp_flags_tree_tcp_flags_syn_tree__ws_expert__ws_expert_group,f229=tcp_tcp_flags_tree_tcp_flags_syn_tree__ws_expert__ws_expert_message,f230=tcp_tcp_flags_tree_tcp_flags_syn_tree__ws_expert__ws_expert_severity,f233=tcp_tcp_flags_tree_tcp_flags_urg,f234=tcp_tcp_hdr_len,f235=tcp_tcp_len,f236=tcp_tcp_nxtseq,f237=tcp_tcp_options,f239=tcp_tcp_options_tree_tcp_options_mss,f241=tcp_tcp_options_tree_tcp_options_mss_tree_tcp_option_kind,f242=tcp_tcp_options_tree_tcp_options_mss_tree_tcp_option_len,f243=tcp_tcp_options_tree_tcp_options_mss_tree_tcp_options_mss_val,f244=tcp_tcp_options_tree_tcp_options_nop,f246=tcp_tcp_options_tree_tcp_options_nop_tree_tcp_option_kind,f247=tcp_tcp_options_tree_tcp_options_sack_perm,f249=tcp_tcp_options_tree_tcp_options_sack_perm_tree_tcp_option_kind,f250=tcp_tcp_options_tree_tcp_options_sack_perm_tree_tcp_option_len,f251=tcp_tcp_options_tree_tcp_options_timestamp,f253=tcp_tcp_options_tree_tcp_options_timestamp_tree_tcp_option_kind,f254=tcp_tcp_options_tree_tcp_options_timestamp_tree_tcp_option_len,f255=tcp_tcp_options_tree_tcp_options_timestamp_tree_tcp_options_timestamp_tsecr,f256=tcp_tcp_options_tree_tcp_options_timestamp_tree_tcp_options_timestamp_tsval,f257=tcp_tcp_options_tree_tcp_options_wscale,f259=tcp_tcp_options_tree_tcp_options_wscale_tree_tcp_option_kind,f260=tcp_tcp_options_tree_tcp_options_wscale_tree_tcp_option_len,f261=tcp_tcp_options_tree_tcp_options_wscale_tree_tcp_options_wscale_multiplier,f262=tcp_tcp_options_tree_tcp_options_wscale_tree_tcp_options_wscale_shift,f263=tcp_tcp_payload,f264=tcp_tcp_pdu_size,f265=tcp_tcp_port,f266=tcp_tcp_segment_data,f267=tcp_tcp_seq,f268=tcp_tcp_seq_raw,f269=tcp_tcp_srcport,f270=tcp_tcp_stream,f271=tcp_tcp_urgent_pointer,f272=tcp_tcp_window_size,f273=tcp_tcp_window_size_scalefactor,f274=tcp_tcp_window_size_value

f2,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f93,f94,f95,f96,f98,f99,f100,f101,f102,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f143,f146,f147,f151,f160,f161,f167,f168,f174,f175,f177,f178,f179,f187,f188,f189,f190,f191,f193,f194,f195,f196,f197,f198,f199,f200,f201,f203,f204,f205,f206,f207,f214,f215,f216,f217,f225,f228,f229,f230,f233,f234,f235,f236,f237,f239,f241,f242,f243,f244,f246,f247,f249,f250,f251,f253,f254,f255,f256,f257,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274
02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,148140,02:42:ac:14:00:04,0,1,02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,0,1,148140,02:42:ac:14:00:03,0x0800,74,1,0,74,0,1,0.000000000,eth:ethertype:ip:tcp,"Dec 12, 2024 22:01:22.934616000 MitteleuropÃ¤ische Zeit",0.000000000,0.000000000,1734037282.934616000,0.000000000,"Dec 12, 2024 21:01:22.934616000 UTC",172.20.0.4,0xb669,2,0x00,0,0,172.20.0.4,172.20.0.4,0x02,1,0,0,0,20,172.20.0.4,0x2c23,60,6,172.20.0.3,172.20.0.3,64,4,,,,,,,0.000000000,0.000000000,0,0,,,,,,0x585e,2,0,0,0,0,0,[ Null ],0,0,1883,0x0002,0,0,0,0,0,0,0,0,Â·Â·Â·Â·Â·Â·Â·Â·Â·Â·SÂ·,1,33554432,Connection establish request (SYN): server port 1883,2097152,0,40,0,1,02:04:05:b4:04:02:08:0a:35:04:50:14:00:00:00:00:01:03:03:07,02:04:05:b4,2,4,1460,01,1,04:02,4,2,08:0a:35:04:50:14:00:00:00:00,8,10,0,889475092,03:03:07,3,3,128,7,,,1883,,0,262628604,43487,0,0,64240,,64240
02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,148140,02:42:ac:14:00:03,0,1,02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,0,1,148140,02:42:ac:14:00:04,0x0800,74,1,0,74,0,2,0.000000000,eth:ethertype:ip:tcp,"Dec 12, 2024 22:01:22.934743000 MitteleuropÃ¤ische Zeit",0.000127000,0.000127000,1734037282.934743000,0.000127000,"Dec 12, 2024 21:01:22.934743000 UTC",172.20.0.3,0xe28c,2,0x00,0,0,172.20.0.3,172.20.0.3,0x02,1,0,0,0,20,172.20.0.3,0x0000,60,6,172.20.0.4,172.20.0.4,64,4,,,,,,,0.000127000,0.000127000,1,262628605,0.000127000,1,,,,0x585e,2,1,0,0,0,0,Â·Â·Â·Â·Â·S,1,0,43487,0x0012,1,0,0,0,0,0,0,0,Â·Â·Â·Â·Â·Â·Â·AÂ·Â·SÂ·,1,33554432,Connection establish acknowledge (SYN+ACK): server port 1883,2097152,0,40,0,1,02:04:05:b4:04:02:08:0a:28:35:f5:32:35:04:50:14:01:03:03:07,02:04:05:b4,2,4,1460,01,1,04:02,4,2,08:0a:28:35:f5:32:35:04:50:14,8,10,889475092,674624818,03:03:07,3,3,128,7,,,43487,,0,3867964292,1883,0,0,65160,,65160
02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,148140,02:42:ac:14:00:04,0,1,02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,0,1,148140,02:42:ac:14:00:03,0x0800,66,1,0,66,0,3,0.000000000,eth:ethertype:ip:tcp,"Dec 12, 2024 22:01:22.934852000 MitteleuropÃ¤ische Zeit",0.000109000,0.000109000,1734037282.934852000,0.000236000,"Dec 12, 2024 21:01:22.934852000 UTC",172.20.0.4,0xb670,2,0x00,0,0,172.20.0.4,172.20.0.4,0x02,1,0,0,0,20,172.20.0.4,0x2c24,52,6,172.20.0.3,172.20.0.3,64,4,,,,,,,0.000109000,0.000236000,1,3867964293,0.000109000,2,,0.000236000,,0x5856,2,3,0,0,0,0,Â·Â·Â·Â·SS,1,1,1883,0x0010,1,0,0,0,0,0,0,0,Â·Â·Â·Â·Â·Â·Â·AÂ·Â·Â·Â·,0,,,,0,32,0,1,01:01:08:0a:35:04:50:15:28:35:f5:32,,,,,01,1,,,,08:0a:35:04:50:15:28:35:f5:32,8,10,674624818,889475093,,,,,,,,1883,,1,262628605,43487,0,0,64256,128,502
02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,148140,02:42:ac:14:00:04,0,1,02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,0,1,148140,02:42:ac:14:00:03,0x0800,100,1,0,100,0,4,0.000000000,eth:ethertype:ip:tcp:mqtt,"Dec 12, 2024 22:01:22.935295000 MitteleuropÃ¤ische Zeit",0.000443000,0.000443000,1734037282.935295000,0.000679000,"Dec 12, 2024 21:01:22.935295000 UTC",172.20.0.4,0xb64d,2,0x00,0,0,172.20.0.4,172.20.0.4,0x02,1,0,0,0,20,172.20.0.4,0x2c25,86,6,172.20.0.3,172.20.0.3,64,4,0x10,0,1,32,,,0.000443000,0.000679000,1,3867964293,,,34,0.000236000,34,0x5878,2,7,1,0,0,0,Â·Â·Â·ASS,1,1,1883,0x0018,1,0,0,0,0,1,0,0,Â·Â·Â·Â·Â·Â·Â·APÂ·Â·Â·,0,,,,0,32,34,35,01:01:08:0a:35:04:50:15:28:35:f5:32,,,,,01,1,,,,08:0a:35:04:50:15:28:35:f5:32,8,10,674624818,889475093,,,,,,10:20:00:04:4d:51:54:54:04:c2:00:3c:00:00:00:05:61:64:6d:69:6e:00:0b:70:61:73:73:77:6f:72:64:31:32:33,34,1883,,1,262628605,43487,0,0,64256,128,502
02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,148140,02:42:ac:14:00:03,0,1,02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,0,1,148140,02:42:ac:14:00:04,0x0800,66,1,0,66,0,5,0.000000000,eth:ethertype:ip:tcp,"Dec 12, 2024 22:01:22.935595000 MitteleuropÃ¤ische Zeit",0.000300000,0.000300000,1734037282.935595000,0.000979000,"Dec 12, 2024 21:01:22.935595000 UTC",172.20.0.3,0x3687,2,0x00,0,0,172.20.0.3,172.20.0.3,0x02,1,0,0,0,20,172.20.0.3,0xac0d,52,6,172.20.0.4,172.20.0.4,64,4,,,,,,,0.000300000,0.000979000,35,262628639,0.000300000,4,,0.000236000,,0x5856,2,15,1,1,0,0,Â·Â·DASS,1,1,43487,0x0010,1,0,0,0,0,0,0,0,Â·Â·Â·Â·Â·Â·Â·AÂ·Â·Â·Â·,0,,,,0,32,0,1,01:01:08:0a:28:35:f5:33:35:04:50:15,,,,,01,1,,,,08:0a:28:35:f5:33:35:04:50:15,8,10,889475093,674624819,,,,,,,,43487,,1,3867964293,1883,0,0,65152,128,509
02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,148140,02:42:ac:14:00:03,0,1,02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,0,1,148140,02:42:ac:14:00:04,0x0800,70,1,0,70,0,6,0.000000000,eth:ethertype:ip:tcp:mqtt,"Dec 12, 2024 22:01:22.969840000 MitteleuropÃ¤ische Zeit",0.034245000,0.034245000,1734037282.969840000,0.035224000,"Dec 12, 2024 21:01:22.969840000 UTC",172.20.0.3,0x3682,2,0x00,0,0,172.20.0.3,172.20.0.3,0x02,1,0,0,0,20,172.20.0.3,0xac0e,56,6,172.20.0.4,172.20.0.4,64,4,0x20,0,2,2,,,0.034245000,0.035224000,35,262628639,,,4,0.000236000,4,0x585a,2,15,1,1,0,0,Â·Â·DASS,1,1,43487,0x0018,1,0,0,0,0,1,0,0,Â·Â·Â·Â·Â·Â·Â·APÂ·Â·Â·,0,,,,0,32,4,5,01:01:08:0a:28:35:f5:55:35:04:50:15,,,,,01,1,,,,08:0a:28:35:f5:55:35:04:50:15,8,10,889475093,674624853,,,,,,20:02:00:00,4,43487,,1,3867964293,1883,0,0,65152,128,509
02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,148140,02:42:ac:14:00:04,0,1,02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,0,1,148140,02:42:ac:14:00:03,0x0800,66,1,0,66,0,7,0.000000000,eth:ethertype:ip:tcp,"Dec 12, 2024 22:01:22.969997000 MitteleuropÃ¤ische Zeit",0.000157000,0.000157000,1734037282.969997000,0.035381000,"Dec 12, 2024 21:01:22.969997000 UTC",172.20.0.4,0xb66e,2,0x00,0,0,172.20.0.4,172.20.0.4,0x02,1,0,0,0,20,172.20.0.4,0x2c26,52,6,172.20.0.3,172.20.0.3,64,4,,,,,,,0.000157000,0.035381000,5,3867964297,0.000157000,6,,0.000236000,,0x5856,2,15,1,1,0,0,Â·Â·DASS,1,1,1883,0x0010,1,0,0,0,0,0,0,0,Â·Â·Â·Â·Â·Â·Â·AÂ·Â·Â·Â·,0,,,,0,32,0,35,01:01:08:0a:35:04:50:38:28:35:f5:55,,,,,01,1,,,,08:0a:35:04:50:38:28:35:f5:55,8,10,674624853,889475128,,,,,,,,1883,,35,262628639,43487,0,0,64256,128,502
02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,148140,02:42:ac:14:00:04,0,1,02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,0,1,148140,02:42:ac:14:00:03,0x0800,89,1,0,89,0,8,0.000000000,eth:ethertype:ip:tcp:mqtt,"Dec 12, 2024 22:01:22.974027000 MitteleuropÃ¤ische Zeit",0.004030000,0.004030000,1734037282.974027000,0.039411000,"Dec 12, 2024 21:01:22.974027000 UTC",172.20.0.4,0xb656,2,0x00,0,0,172.20.0.4,172.20.0.4,0x02,1,0,0,0,20,172.20.0.4,0x2c27,75,6,172.20.0.3,172.20.0.3,64,4,0x82,2,8,21,smart_home/light,16,0.004030000,0.039411000,5,3867964297,,,23,0.000236000,23,0x586d,2,15,1,1,0,0,Â·Â·DASS,1,1,1883,0x0018,1,0,0,0,0,1,0,0,Â·Â·Â·Â·Â·Â·Â·APÂ·Â·Â·,0,,,,0,32,23,58,01:01:08:0a:35:04:50:3c:28:35:f5:55,,,,,01,1,,,,08:0a:35:04:50:3c:28:35:f5:55,8,10,674624853,889475132,,,,,,82:15:00:01:00:10:73:6d:61:72:74:5f:68:6f:6d:65:2f:6c:69:67:68:74:00,23,1883,,35,262628639,43487,0,0,64256,128,502
02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,148140,02:42:ac:14:00:03,0,1,02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,0,1,148140,02:42:ac:14:00:04,0x0800,71,1,0,71,0,9,0.000000000,eth:ethertype:ip:tcp:mqtt,"Dec 12, 2024 22:01:22.974700000 MitteleuropÃ¤ische Zeit",0.000673000,0.000673000,1734037282.974700000,0.040084000,"Dec 12, 2024 21:01:22.974700000 UTC",172.20.0.3,0x3680,2,0x00,0,0,172.20.0.3,172.20.0.3,0x02,1,0,0,0,20,172.20.0.3,0xac0f,57,6,172.20.0.4,172.20.0.4,64,4,0x90,0,9,3,,,0.000673000,0.040084000,58,262628662,0.000673000,8,5,0.000236000,5,0x585b,2,15,1,1,0,0,Â·Â·DASS,1,1,43487,0x0018,1,0,0,0,0,1,0,0,Â·Â·Â·Â·Â·Â·Â·APÂ·Â·Â·,0,,,,0,32,5,10,01:01:08:0a:28:35:f5:5a:35:04:50:3c,,,,,01,1,,,,08:0a:28:35:f5:5a:35:04:50:3c,8,10,889475132,674624858,,,,,,90:03:00:01:00,5,43487,,5,3867964297,1883,0,0,65152,128,509
02:42:ac:14:00:04,02:42:ac:14:00:04,148140,02:42:ac:14:00:04,0,1,148140,02:42:ac:14:00:04,0,1,02:42:ac:14:00:03,02:42:ac:14:00:03,148140,02:42:ac:14:00:03,0,1,0,1,148140,02:42:ac:14:00:03,0x0800,66,1,0,66,0,10,0.000000000,eth:ethertype:ip:tcp,"Dec 12, 2024 22:01:23.015609000 MitteleuropÃ¤ische Zeit",0.040909000,0.040909000,1734037283.015609000,0.080993000,"Dec 12, 2024 21:01:23.015609000 UTC",172.20.0.4,0xb66c,2,0x00,0,0,172.20.0.4,172.20.0.4,0x02,1,0,0,0,20,172.20.0.4,0x2c28,52,6,172.20.0.3,172.20.0.3,64,4,,,,,,,0.040909000,0.080993000,10,3867964302,0.040909000,9,,0.000236000,,0x5856,2,15,1,1,0,0,Â·Â·DASS,1,1,1883,0x0010,1,0,0,0,0,0,0,0,Â·Â·Â·Â·Â·Â·Â·AÂ·Â·Â·Â·,0,,,,0,32,0,58,01:01:08:0a:35:04:50:66:28:35:f5:5a,,,,,01,1,,,,08:0a:35:04:50:66:28:35:f5:5a,8,10,674624858,889475174,,,,,,,,1883,,58,262628662,43487,0,0,64256,128,502
